participant_id,technique,granularity,open_windows,trial_no,stimuli,user_response,trial_time,accuracy
P4,shortcuts,phrase,2,1,transform mechanical energy,transform mechanical energy,16842,1
P4,shortcuts,phrase,2,2,all possible combinations,all possible combinations,9143,1
P4,shortcuts,phrase,2,3,size of a signal voltage,size of a signal voltage,13536,1
P4,shortcuts,phrase,4,4,amplifier in addition,amplifier in addition,14480,1
P4,shortcuts,phrase,4,5,meter used to measure,meter used to measure,34887,1
P4,shortcuts,phrase,4,6,positive electrode or terminal,positive electrode or terminal,14560,1
P4,shortcuts,phrase,6,7,transformer where the output,transformer where the output,26031,1
P4,shortcuts,phrase,6,8,terminal device in which emitter,terminal device in which emitter,19040,1
P4,shortcuts,phrase,6,9,natural difference of potential that exists,natural difference of potential that exists,42655,1
P4,shortcuts,sentence,2,10,Device used to transform mechanical energy into AC electrical power.,Device used to transform mechanical energy into AC electrical power.,16120,1
P4,shortcuts,sentence,2,11,The rotating or moving component of a magnetic circuit.,The rotating or moving component of a magnetic circuit.,16200,1
P4,shortcuts,sentence,2,12,Magnitude or size of a signal voltage or current.,Magnitude or size of a signal voltage or current.,10968,1
P4,shortcuts,sentence,4,13,A component that changes the amplitude of a signal between input and output.,A component that changes the amplitude of a signal between input and output.,9265,1
P4,shortcuts,sentence,4,14,Spring clip on the end of a test lead used to make a temporary connection.,Spring clip on the end of a test lead used to make a temporary connection.,6711,1
P4,shortcuts,sentence,4,15,Condition that occurs when a bridge circuit is adjusted to produce a zero output.,Condition that occurs when a bridge circuit is adjusted to produce a zero output.,17175,1
P4,shortcuts,sentence,6,16,A device that converts a radiated electromagnetic wave into an electrical wave.,A device that converts a radiated electromagnetic wave into an electrical wave.,9632,1
P4,shortcuts,sentence,6,17,A number system having only two symbols 0 and 1.,A number system having only two symbols 0 and 1.,13103,1
P4,shortcuts,sentence,6,18,Because human%u2013computer interaction studies a human and a machine in conjunction it draws from supporting knowledge on both the machine and the human side.,Because human%u2013computer interaction studies a human and a machine in conjunction it draws from supporting knowledge on both the machine and the human side.,22776,1
