participant_id,technique,granularity,open_windows,trial_no,stimuli,user_response,trial_time,accuracy
P2,autocompaste,sentence,2,1,transform mechanical energy,transform mechanical energy,16620,1
P2,autocompaste,sentence,2,2,all possible combinations,,1942,0
P2,autocompaste,sentence,2,3,size of a signal voltage,size of a signal voltage,17817,1
P2,autocompaste,sentence,4,4,amplifier in addition,amplifier in addition,12678,1
P2,autocompaste,sentence,4,5,meter used to measure,meter used to measure,9122,1
P2,autocompaste,sentence,4,6,positive electrode or terminal,positive electrode or terminal,5377,1
P2,autocompaste,sentence,6,7,transformer where the output,transformer where the output,25646,1
P2,autocompaste,sentence,6,8,terminal device in which emitter,terminal device in which emitter,15525,1
P2,autocompaste,sentence,6,9,natural difference of potential that exists,natural difference of potential that exists,5685,1
P2,autocompaste,paragraph,2,10,Device used to transform mechanical energy into AC electrical power.,Device used to transform mechanical energy into AC electrical power.,15568,1
P2,autocompaste,paragraph,2,11,The rotating or moving component of a magnetic circuit.,The rotating or moving component of a magnetic circuit.,3991,1
P2,autocompaste,paragraph,2,12,Magnitude or size of a signal voltage or current.,Magnitude or size of a signal voltage or current.,3075,1
P2,autocompaste,paragraph,4,13,A component that changes the amplitude of a signal between input and output.,A component that changes the amplitude of a signal between input and output.,3247,1
P2,autocompaste,paragraph,4,14,Spring clip on the end of a test lead used to make a temporary connection.,Spring clip on the end of a test lead used to make a temporary connection.,3062,1
P2,autocompaste,paragraph,4,15,Condition that occurs when a bridge circuit is adjusted to produce a zero output.,Condition that occurs when a bridge circuit is adjusted to produce a zero output.,2644,1
P2,autocompaste,paragraph,6,16,A device that converts a radiated electromagnetic wave into an electrical wave.,A device that converts a radiated electromagnetic wave into an electrical wave.,3486,1
P2,autocompaste,paragraph,6,17,A number system having only two symbols 0 and 1.,A number system having only two symbols 0 and 1.,3595,1
P2,autocompaste,paragraph,6,18,Because human%u2013computer interaction studies a human and a machine in conjunction it draws from supporting knowledge on both the machine and the human side.,Because human%u2013computer interaction studies a human and a machine in conjunction it draws from supporting knowledge on both the machine and the human side.,3133,1
P2,autocompaste,phrase,2,19,What is AC/DC ? Equipment that will operate on either an AC or DC power source.,what is ac/DC ?Equipment that will operate on either an AC or DC power source.,7027,0
P2,autocompaste,phrase,2,20,What is active component ? A component that changes the amplitude of a signal between input and output.,What is active component ?A component that changes the amplitude of a signal between input and output.,10450,0
P2,autocompaste,phrase,2,21,What is armstrong oscillator ? An oscillator that uses an isolation transformer to achieve positive feedback from output to input.,What is armstrong oscillator ?An oscillator that uses an isolation transformer to achieve positive feedback from output to input.,5777,0
P2,autocompaste,phrase,4,22,What is alternating current ? An electric current that rises to a maximum in one direction falls back to zero and then rises to a maximum in the opposite direction and then repeats.,What is alternating current ?An electric current that rises to a maximum in one direction falls back to zero and then rises to a maximum in the opposite direction and then repeats.,7952,0
P2,autocompaste,phrase,4,23,What is apparent power ? Power attained in an AC circuit as a product of effective voltage and current which reach their peak at different times.,What is apparent power ?Power attained in an AC circuit as a product of effective voltage and current which reach their peak at different times.,8073,0
P2,autocompaste,phrase,4,24,What is average value ? A value of voltage or current where the area of the wave above the value equals the area of the wave below the value.,What is average value ?A value of voltage or current where the area of the wave above the value equals the area of the wave below the value.,7963,0
P2,autocompaste,phrase,6,25,What is alligator clip ? Spring clip on the end of a test lead used to make a temporary connection.,What is alligator clip ?Spring clip on the end of a test lead used to make a temporary connection.,6911,0
P2,autocompaste,phrase,6,26,What is bipolar junction transistor ? (BJT) A three terminal device in which emitter to collector current is controlled by base current.,What is bipolar junction transistor ?(BJT) A three terminal device in which emitter to collector current is controlled by base current.,10981,0
P2,autocompaste,phrase,6,27,Because human%u2013computer interaction studies a human and a machine in conjunction it draws from supporting knowledge on both the machine and the human side. On the machine sidetechniques in computer graphicsoperating systemsprogramming languagesand development environments are relevant.,Because human%u2013computer interaction studies a human and a machine in conjunction it draws from supporting knowledge on both the machine and the human side.On the machine sidetechniques in computer graphicsoperating systemsprogramming languagesand development environments are relevant.,9161,0
P2,shortcuts,sentence,2,28,transform mechanical energy,transform mechanical energy,11816,1
P2,shortcuts,sentence,2,29,all possible combinations,all possible combinations,5372,1
P2,shortcuts,sentence,2,30,size of a signal voltage,size of a signal voltage,9876,1
P2,shortcuts,sentence,4,31,amplifier in addition,amplifier in addition,5112,1
P2,shortcuts,sentence,4,32,meter used to measure,meter used to measure,9841,1
P2,shortcuts,sentence,4,33,positive electrode or terminal,positive electrode or terminal,6704,1
P2,shortcuts,sentence,6,34,transformer where the output,transformer where the output,17541,1
P2,shortcuts,sentence,6,35,terminal device in which emitter,terminal device in which emitter,6348,1
P2,shortcuts,sentence,6,36,natural difference of potential that exists,natural difference of potential that exists,2936,1
P2,shortcuts,paragraph,2,37,Device used to transform mechanical energy into AC electrical power.,Device used to transform mechanical energy into AC electrical power.,4087,1
P2,shortcuts,paragraph,2,38,The rotating or moving component of a magnetic circuit.,The rotating or moving component of a magnetic circuit.,7204,1
P2,shortcuts,paragraph,2,39,Magnitude or size of a signal voltage or current.,Magnitude or size of a signal voltage or current.,5977,1
P2,shortcuts,paragraph,4,40,A component that changes the amplitude of a signal between input and output.,A component that changes the amplitude of a signal between input and output.,8950,1
P2,shortcuts,paragraph,4,41,Spring clip on the end of a test lead used to make a temporary connection.,Spring clip on the end of a test lead used to make a temporary connection.,4883,1
P2,shortcuts,paragraph,4,42,Condition that occurs when a bridge circuit is adjusted to produce a zero output.,Condition that occurs when a bridge circuit is adjusted to produce a zero output.,6410,1
P2,shortcuts,paragraph,6,43,A device that converts a radiated electromagnetic wave into an electrical wave.,A device that converts a radiated electromagnetic wave into an electrical wave.,5019,1
P2,shortcuts,paragraph,6,44,A number system having only two symbols 0 and 1.,A number system having only two symbols 0 and 1.,9105,1
P2,shortcuts,paragraph,6,45,Because human%u2013computer interaction studies a human and a machine in conjunction it draws from supporting knowledge on both the machine and the human side.,Because human%u2013computer interaction studies a human and a machine in conjunction it draws from supporting knowledge on both the machine and the human side.,5031,1
P2,shortcuts,phrase,2,46,What is AC/DC ? Equipment that will operate on either an AC or DC power source.,What is AC/DC ? Equipment that will operate on either an AC or DC power source.,2918,1
P2,shortcuts,phrase,2,47,What is active component ? A component that changes the amplitude of a signal between input and output.,What is active component ? A component that changes the amplitude of a signal between input and output.,3207,1
P2,shortcuts,phrase,2,48,What is armstrong oscillator ? An oscillator that uses an isolation transformer to achieve positive feedback from output to input.,What is armstrong oscillator ? An oscillator that uses an isolation transformer to achieve positive feedback from output to input.,3653,1
P2,shortcuts,phrase,4,49,What is alternating current ? An electric current that rises to a maximum in one direction falls back to zero and then rises to a maximum in the opposite direction and then repeats.,What is alternating current ? An electric current that rises to a maximum in one direction falls back to zero and then rises to a maximum in the opposite direction and then repeats.,6130,1
P2,shortcuts,phrase,4,50,What is apparent power ? Power attained in an AC circuit as a product of effective voltage and current which reach their peak at different times.,What is apparent power ? Power attained in an AC circuit as a product of effective voltage and current which reach their peak at different times.,8999,1
P2,shortcuts,phrase,4,51,What is average value ? A value of voltage or current where the area of the wave above the value equals the area of the wave below the value.,What is average value ? A value of voltage or current where the area of the wave above the value equals the area of the wave below the value.,3654,1
P2,shortcuts,phrase,6,52,What is alligator clip ? Spring clip on the end of a test lead used to make a temporary connection.,What is alligator clip ? Spring clip on the end of a test lead used to make a temporary connection.,3755,1
P2,shortcuts,phrase,6,53,What is bipolar junction transistor ? (BJT) A three terminal device in which emitter to collector current is controlled by base current.,What is bipolar junction transistor ? (BJT) A three terminal device in which emitter to collector current is controlled by base current.,15653,1
P2,shortcuts,phrase,6,54,Because human%u2013computer interaction studies a human and a machine in conjunction it draws from supporting knowledge on both the machine and the human side. On the machine sidetechniques in computer graphicsoperating systemsprogramming languagesand development environments are relevant.,Because human%u2013computer interaction studies a human and a machine in conjunction it draws from supporting knowledge on both the machine and the human side. On the machine sidetechniques in computer graphicsoperating systemsprogramming languagesand development environments are relevant.,7952,1
