participant_id,technique,granularity,open_windows,trial_no,stimuli,user_response,trial_time,accuracy
P5,shortcuts,sentence,2,1,Device used to transform mechanical energy into AC electrical power.,Device used to transform mechanical energy into AC electrical power.,3863,1
P5,shortcuts,sentence,2,2,The rotating or moving component of a magnetic circuit.,The rotating or moving component of a magnetic circuit.,6073,1
P5,shortcuts,sentence,2,3,Magnitude or size of a signal voltage or current.,Magnitude or size of a signal voltage or current.,8167,1
P5,shortcuts,sentence,4,4,A component that changes the amplitude of a signal between input and output.,A component that changes the amplitude of a signal between input and output.,4720,1
P5,shortcuts,sentence,4,5,Spring clip on the end of a test lead used to make a temporary connection.,Spring clip on the end of a test lead used to make a temporary connection.,6376,1
P5,shortcuts,sentence,4,6,Condition that occurs when a bridge circuit is adjusted to produce a zero output.,Condition that occurs when a bridge circuit is adjusted to produce a zero output.,8160,1
P5,shortcuts,sentence,6,7,A device that converts a radiated electromagnetic wave into an electrical wave.,A device that converts a radiated electromagnetic wave into an electrical wave.,9064,1
P5,shortcuts,sentence,6,8,A number system having only two symbols 0 and 1.,A number system having only two symbols 0 and 1.,14296,1
P5,shortcuts,sentence,6,9,Because human%u2013computer interaction studies a human and a machine in conjunction it draws from supporting knowledge on both the machine and the human side.,Because human%u2013computer interaction studies a human and a machine in conjunction it draws from supporting knowledge on both the machine and the human side.,6912,1
P5,shortcuts,paragraph,2,10,What is AC/DC ? Equipment that will operate on either an AC or DC power source.,What is AC/DC ? Equipment that will operate on either an AC or DC power source.,5303,1
P5,shortcuts,paragraph,2,11,What is active component ? A component that changes the amplitude of a signal between input and output.,What is active component ? A component that changes the amplitude of a signal between input and output.,4920,1
P5,shortcuts,paragraph,2,12,What is armstrong oscillator ? An oscillator that uses an isolation transformer to achieve positive feedback from output to input.,What is armstrong oscillator ? An oscillator that uses an isolation transformer to achieve positive feedback from output to input.,7440,1
P5,shortcuts,paragraph,4,13,What is alternating current ? An electric current that rises to a maximum in one direction falls back to zero and then rises to a maximum in the opposite direction and then repeats.,What is alternating current ? An electric current that rises to a maximum in one direction falls back to zero and then rises to a maximum in the opposite direction and then repeats.,5888,1
P5,shortcuts,paragraph,4,14,What is apparent power ? Power attained in an AC circuit as a product of effective voltage and current which reach their peak at different times.,What is apparent power ? Power attained in an AC circuit as a product of effective voltage and current which reach their peak at different times.,8560,1
P5,shortcuts,paragraph,4,15,What is average value ? A value of voltage or current where the area of the wave above the value equals the area of the wave below the value.,What is average value ? A value of voltage or current where the area of the wave above the value equals the area of the wave below the value.,18039,1
P5,shortcuts,paragraph,6,16,What is alligator clip ? Spring clip on the end of a test lead used to make a temporary connection.,What is alligator clip ? Spring clip on the end of a test lead used to make a temporary connection.,5640,1
P5,shortcuts,paragraph,6,17,What is bipolar junction transistor ? (BJT) A three terminal device in which emitter to collector current is controlled by base current.,What is bipolar junction transistor ? (BJT) A three terminal device in which emitter to collector current is controlled by base current.,19263,1
P5,shortcuts,paragraph,6,18,Because human%u2013computer interaction studies a human and a machine in conjunction it draws from supporting knowledge on both the machine and the human side. On the machine side techniques in computer graphics operating systems programming languages and development environments are relevant.,Because human%u2013computer interaction studies a human and a machine in conjunction it draws from supporting knowledge on both the machine and the human side. On the machine side techniques in computer graphics operating systems programming languages and development environments are relevant.,16536,1
P5,shortcuts,phrase,2,19,transform mechanical energy,transform mechanical energy,35287,1
P5,shortcuts,phrase,2,20,all possible combinations,all possible combinations,12679,1
P5,shortcuts,phrase,2,21,size of a signal voltage,size of a signal voltage,5576,1
P5,shortcuts,phrase,4,22,amplifier in addition,amplifier in addition,8192,1
P5,shortcuts,phrase,4,23,meter used to measure,meter used to measure,10224,1
P5,shortcuts,phrase,4,24,positive electrode or terminal,positive electrode or terminal,19623,1
P5,shortcuts,phrase,6,25,transformer where the output,transformer where the output,17456,1
P5,shortcuts,phrase,6,26,terminal device in which emitter,terminal device in which emitter,17880,1
P5,shortcuts,phrase,6,27,natural difference of potential that exists,natural difference of potential that exists,7424,1
P5,autocompaste,sentence,2,28,Device used to transform mechanical energy into AC electrical power.,Device used to transform mechanical energy into AC electrical power.,5320,1
P5,autocompaste,sentence,2,29,The rotating or moving component of a magnetic circuit.,The rotating or moving component of a magnetic circuit.,5719,1
P5,autocompaste,sentence,2,30,Magnitude or size of a signal voltage or current.,Magnitude or size of a signal voltage or current.,4776,1
